frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s
1261,10.508333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1262,10.516666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1263,10.525,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1264,10.533333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1265,10.541666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1266,10.55,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1267,10.558333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1268,10.566666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1269,10.575,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1270,10.583333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1271,10.591666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1272,10.6,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1273,10.608333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1274,10.616666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1275,10.625,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1276,10.633333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1277,10.641666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1278,10.65,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1279,10.658333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1280,10.666666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1281,10.675,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1282,10.683333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1283,10.691666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1284,10.7,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1285,10.708333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1286,10.716666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1287,10.725,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1288,10.733333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1289,10.741666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1290,10.75,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1291,10.758333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1292,10.766666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1293,10.775,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1294,10.783333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
