time_s,25k_50k_84.88deg
1.77E-05,0.451244257
1.77E-05,0.451617382
1.77E-05,0.451977954
1.77E-05,0.452325916
1.77E-05,0.45266121
1.78E-05,0.452983779
1.78E-05,0.453293568
1.78E-05,0.45359052
1.78E-05,0.45387458
1.78E-05,0.454145692
1.79E-05,0.454403803
1.79E-05,0.454648858
1.79E-05,0.454880804
1.79E-05,0.455099587
1.79E-05,0.455305155
1.80E-05,0.455497456
1.80E-05,0.455676438
1.80E-05,0.455842049
1.80E-05,0.455994239
1.80E-05,0.456132958
1.81E-05,0.456258156
1.81E-05,0.456369783
1.81E-05,0.456467791
1.81E-05,0.456552132
1.81E-05,0.456622757
1.82E-05,0.45667962
1.82E-05,0.456722673
1.82E-05,0.456751871
1.82E-05,0.456767167
1.82E-05,0.456768516
1.83E-05,0.456755874
1.83E-05,0.456729196
1.83E-05,0.456688438
1.83E-05,0.456633558
1.83E-05,0.456564512
1.84E-05,0.456481258
1.84E-05,0.456383755
1.84E-05,0.456271961
1.84E-05,0.456145837
1.84E-05,0.456005341
1.85E-05,0.455850434
1.85E-05,0.455681077
1.85E-05,0.455497233
1.85E-05,0.455298861
1.85E-05,0.455085927
1.86E-05,0.454858391
1.86E-05,0.454616219
1.86E-05,0.454359375
1.86E-05,0.454087822
1.86E-05,0.453801527
1.87E-05,0.453500455
1.87E-05,0.453184573
1.87E-05,0.452853847
1.87E-05,0.452508246
1.87E-05,0.452147737
1.88E-05,0.45177229
1.88E-05,0.451381872
1.88E-05,0.450976454
1.88E-05,0.450556007
1.88E-05,0.4501205
1.89E-05,0.449669907
1.89E-05,0.449204198
1.89E-05,0.448723346
1.89E-05,0.448227325
1.89E-05,0.447716108
1.90E-05,0.447189669
1.90E-05,0.446647984
1.90E-05,0.446091028
1.90E-05,0.445518777
1.90E-05,0.444931208
1.91E-05,0.444328297
1.91E-05,0.443710024
1.91E-05,0.443076365
1.91E-05,0.4424273
1.91E-05,0.441762809
1.92E-05,0.441082872
1.92E-05,0.440387469
1.92E-05,0.439676582
1.92E-05,0.438950193
1.92E-05,0.438208284
1.93E-05,0.437450839
1.93E-05,0.436677841
1.93E-05,0.435889274
1.93E-05,0.435085123
1.93E-05,0.434265375
1.94E-05,0.433430015
1.94E-05,0.432579029
1.94E-05,0.431712405
1.94E-05,0.430830131
1.94E-05,0.429932196
1.95E-05,0.429018588
1.95E-05,0.428089298
1.95E-05,0.427144315
1.95E-05,0.426183631
1.95E-05,0.425207237
1.96E-05,0.424215126
1.96E-05,0.423207289
1.96E-05,0.422183721
1.96E-05,0.421144416
1.96E-05,0.420089367
1.97E-05,0.419018571
1.97E-05,0.417932023
1.97E-05,0.41682972
1.97E-05,0.415711658
1.97E-05,0.414577835
1.98E-05,0.413428251
1.98E-05,0.412262902
1.98E-05,0.41108179
1.98E-05,0.409884914
1.98E-05,0.408672275
1.99E-05,0.407443875
1.99E-05,0.406199714
1.99E-05,0.404939797
1.99E-05,0.403664126
1.99E-05,0.402372705
2.00E-05,0.401065538
2.00E-05,0.399742631
2.00E-05,0.39840399
2.00E-05,0.39704962
2.00E-05,0.395679529
2.01E-05,0.394293724
2.01E-05,0.392892213
2.01E-05,0.391475006
2.01E-05,0.390042112
2.01E-05,0.38859354
2.02E-05,0.387129302
2.02E-05,0.385649408
2.02E-05,0.384153871
2.02E-05,0.382642703
2.02E-05,0.381115918
2.03E-05,0.379573529
2.03E-05,0.378015551
2.03E-05,0.376441998
2.03E-05,0.374852887
2.03E-05,0.373248233
2.04E-05,0.371628054
2.04E-05,0.369992367
2.04E-05,0.36834119
2.04E-05,0.366674542
2.04E-05,0.364992442
2.05E-05,0.363294911
2.05E-05,0.361581968
2.05E-05,0.359853636
2.05E-05,0.358109936
2.05E-05,0.35635089
2.06E-05,0.354576522
2.06E-05,0.352786856
2.06E-05,0.350981915
2.06E-05,0.349161724
2.06E-05,0.34732631
2.07E-05,0.345475698
2.07E-05,0.343609916
2.07E-05,0.34172899
2.07E-05,0.339832948
2.07E-05,0.33792182
2.08E-05,0.335995634
2.08E-05,0.334054421
2.08E-05,0.33209821
2.08E-05,0.330127033
2.08E-05,0.328140922
2.09E-05,0.326139908
2.09E-05,0.324124025
2.09E-05,0.322093307
2.09E-05,0.320047787
2.09E-05,0.3179875
2.10E-05,0.315912481
2.10E-05,0.313822767
2.10E-05,0.311718393
2.10E-05,0.309599397
2.10E-05,0.307465818
2.11E-05,0.305317692
2.11E-05,0.303155059
2.11E-05,0.300977959
2.11E-05,0.298786431
2.11E-05,0.296580517
2.12E-05,0.294360257
2.12E-05,0.292125694
2.12E-05,0.289876869
2.12E-05,0.287613827
2.12E-05,0.285336611
2.13E-05,0.283045264
2.13E-05,0.280739833
2.13E-05,0.278420362
2.13E-05,0.276086897
2.13E-05,0.273739485
2.14E-05,0.271378173
2.14E-05,0.269003009
2.14E-05,0.266614041
2.14E-05,0.264211318
2.14E-05,0.26179489
2.15E-05,0.259364806
2.15E-05,0.256921118
2.15E-05,0.254463876
2.15E-05,0.251993132
2.15E-05,0.249508939
2.16E-05,0.247011349
2.16E-05,0.244500416
2.16E-05,0.241976194
2.16E-05,0.239438737
2.16E-05,0.236888101
2.17E-05,0.234324342
2.17E-05,0.231747515
2.17E-05,0.229157677
2.17E-05,0.226554887
2.17E-05,0.223939201
2.18E-05,0.221310678
2.18E-05,0.218669377
2.18E-05,0.216015358
2.18E-05,0.213348681
2.18E-05,0.210669406
2.19E-05,0.207977595
2.19E-05,0.205273309
2.19E-05,0.202556611
2.19E-05,0.199827563
2.19E-05,0.197086228
2.20E-05,0.194332671
2.20E-05,0.191566956
2.20E-05,0.188789148
2.20E-05,0.185999312
2.20E-05,0.183197514
2.21E-05,0.18038382
2.21E-05,0.177558298
2.21E-05,0.174721015
2.21E-05,0.171872039
2.21E-05,0.169011438
2.22E-05,0.166139281
2.22E-05,0.163255639
2.22E-05,0.16036058
2.22E-05,0.157454176
2.22E-05,0.154536498
2.23E-05,0.151607616
2.23E-05,0.148667603
2.23E-05,0.145716532
2.23E-05,0.142754475
2.23E-05,0.139781506
2.24E-05,0.136797699
2.24E-05,0.133803128
2.24E-05,0.130797868
2.24E-05,0.127781994
2.24E-05,0.124755583
2.25E-05,0.121718711
2.25E-05,0.118671454
2.25E-05,0.115613889
2.25E-05,0.112546095
2.25E-05,0.10946815
2.26E-05,0.106380131
2.26E-05,0.103282119
